PLAYER,TEAM,AGE,GP,MIN,W,L,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,SALARY
Aaron Brooks,MIN,33,32,5.9,19,13,2.3,0.9,2.2,0.3,1.0,0.3,0.3,0.2,0.3,0.6,0.3,0.2,0.0,2116955.0
Aaron Gordon,ORL,22,58,32.9,19,39,17.6,6.5,14.9,2.0,5.9,2.7,3.9,1.5,6.4,2.3,1.8,1.0,0.8,5504420.0
Abdel Nader,BOS,24,48,10.9,33,15,3.0,1.0,3.1,0.5,1.4,0.5,0.8,0.3,1.2,0.5,0.7,0.3,0.2,1167333.0
Al Horford,BOS,32,72,31.6,47,25,12.9,5.1,10.5,1.3,3.1,1.3,1.7,1.4,5.9,4.7,1.8,0.6,1.1,27734405.0
Al Jefferson,IND,33,36,13.4,17,19,7.0,3.1,5.8,0.0,0.1,0.8,1.0,0.8,3.1,0.8,0.6,0.4,0.6,9769821.0
Al-Farouq Aminu,POR,27,69,30.0,40,29,9.3,3.3,8.4,1.8,4.9,0.9,1.2,1.4,6.2,1.2,1.1,1.1,0.6,7319035.0
Alec Burks,UTA,26,64,16.5,37,27,7.7,2.7,6.5,0.7,2.2,1.7,1.9,0.3,2.7,1.0,0.9,0.6,0.1,10845506.0
Alex Abrines,OKC,24,75,15.1,42,33,4.7,1.5,3.9,1.1,2.9,0.5,0.6,0.3,1.2,0.4,0.3,0.5,0.1,5725000.0
Alex Poythress,IND,24,25,4.2,10,15,1.0,0.4,1.0,0.2,0.4,0.0,0.0,0.3,0.4,0.1,0.1,0.1,0.0,778668.0
Alfonzo McKinnie,TOR,25,14,3.8,13,1,1.5,0.6,1.1,0.2,0.6,0.1,0.2,0.1,0.4,0.1,0.2,0.1,0.1,815615.0
Amir Johnson,PHI,31,74,15.8,47,27,4.6,1.9,3.5,0.1,0.4,0.7,1.1,1.7,2.8,1.6,0.7,0.6,0.6,11000000.0
Andre Drummond,DET,24,78,33.7,37,41,15.0,6.0,11.3,0.0,0.1,3.1,5.1,5.1,10.9,3.0,2.6,1.5,1.6,23775506.0
Andre Iguodala,GSW,34,64,25.4,46,18,6.0,2.3,5.0,0.5,1.8,0.9,1.4,0.8,3.1,3.3,1.0,0.8,0.6,14814815.0
Andre Roberson,OKC,26,39,26.6,24,15,5.0,2.2,4.2,0.2,0.9,0.3,1.0,1.9,2.8,1.2,0.8,1.2,0.9,9259259.0
Andrew Bogut,LAL,33,24,9.0,7,17,1.5,0.7,1.0,0.0,0.0,0.1,0.1,1.1,2.2,0.6,0.8,0.2,0.5,2328652.0
Andrew Harrison,MEM,23,56,23.7,17,39,9.5,3.2,7.7,0.8,2.5,2.2,2.8,0.4,1.9,3.2,1.4,0.7,0.5,1312611.0
Andrew Wiggins,MIN,23,82,36.3,47,35,17.7,6.9,15.9,1.4,4.1,2.5,3.8,1.0,3.4,2.0,1.7,1.1,0.6,7574322.0
Ante Zizic,CLE,21,32,6.7,21,11,3.7,1.5,2.1,0.0,0.0,0.7,0.9,0.8,1.1,0.2,0.3,0.1,0.4,1645200.0
Anthony Davis,NOP,25,75,36.4,45,30,28.1,10.4,19.5,0.7,2.2,6.6,8.0,2.5,8.6,2.3,2.2,1.5,2.6,23775506.0
Antonius Cleveland,ATL,24,17,7.2,7,10,1.4,0.5,1.2,0.2,0.2,0.2,0.4,0.2,0.6,0.1,0.4,0.4,0.3,92160.0
Aron Baynes,BOS,31,81,18.3,54,27,6.0,2.6,5.5,0.0,0.3,0.7,1.0,1.6,3.8,1.1,1.0,0.3,0.6,4328000.0
Arron Afflalo,ORL,32,53,12.9,16,37,3.4,1.2,3.1,0.5,1.3,0.4,0.5,0.1,1.2,0.6,0.4,0.1,0.2,2328652.0
Austin Rivers,LAC,25,61,33.7,30,31,15.1,5.6,13.2,2.2,5.9,1.7,2.6,0.4,1.9,4.0,1.8,1.2,0.3,11825000.0
Avery Bradley,LAC,27,46,31.2,22,24,14.3,5.6,13.6,1.6,4.4,1.4,1.8,0.5,2.0,2.0,2.2,1.1,0.2,8808989.0
Bam Adebayo,MIA,20,69,19.8,34,35,6.9,2.5,4.9,0.0,0.1,1.9,2.6,1.7,3.8,1.5,1.0,0.5,0.6,2490360.0
Ben McLemore,MEM,25,56,19.5,7,49,7.5,2.8,6.7,1.0,2.8,0.9,1.1,0.6,1.9,0.9,1.1,0.7,0.3,5200000.0
Ben Simmons,PHI,21,81,33.7,51,30,15.8,6.7,12.3,0.0,0.1,2.4,4.2,1.8,6.3,8.2,3.4,1.7,0.9,6168840.0
Bismack Biyombo,ORL,25,82,18.2,25,57,5.7,2.2,4.3,0.0,0.0,1.2,1.9,1.8,4.0,0.8,1.0,0.3,1.2,17000000.0
Blake Griffin,DET,29,58,34.0,28,30,21.4,7.5,17.2,1.9,5.6,4.5,5.7,1.3,6.1,5.8,2.8,0.7,0.3,29512900.0
Boban Marjanovic,LAC,29,39,8.7,18,21,6.0,2.0,3.8,0.0,0.0,2.0,2.5,1.2,2.5,0.6,0.9,0.3,0.3,7000000.0
Bobby Brown,HOU,33,20,5.7,17,3,2.5,1.0,2.9,0.6,2.0,0.1,0.1,0.0,0.4,0.6,0.5,0.2,0.0,1524305.0
Bobby Portis,CHI,23,73,22.5,25,48,13.2,5.2,11.1,1.1,3.1,1.6,2.1,2.2,4.6,1.7,1.4,0.7,0.3,1516320.0
Bogdan Bogdanovic,SAC,25,78,27.9,26,52,11.8,4.4,9.9,1.7,4.2,1.3,1.5,0.4,2.5,3.3,1.6,0.9,0.2,9470614.0
Bojan Bogdanovic,IND,29,80,30.8,47,33,14.3,5.1,10.7,1.9,4.8,2.2,2.6,0.4,3.0,1.5,1.3,0.7,0.1,10500000.0
Bradley Beal,WAS,25,82,36.3,43,39,22.6,8.3,18.1,2.4,6.5,3.6,4.5,0.7,3.7,4.5,2.6,1.2,0.4,23775506.0
Brandon Ingram,LAL,20,59,33.5,27,32,16.1,6.1,12.9,0.7,1.8,3.3,4.8,1.0,4.4,3.9,2.5,0.8,0.7,5519400.0
Brandon Jennings,MIL,28,14,14.7,8,6,5.2,1.9,5.1,0.6,2.4,0.7,0.7,0.4,1.9,3.1,1.3,0.4,0.3,119010.0
Brandon Paul,SAS,27,64,9.0,38,26,2.3,0.9,2.0,0.2,0.8,0.3,0.7,0.1,1.0,0.6,0.5,0.4,0.1,815615.0
Briante Weber,MEM,25,18,13.1,8,10,2.8,1.1,2.4,0.2,0.6,0.4,0.6,0.4,1.5,1.2,0.8,1.0,0.3,83129.0
Brice Johnson,MEM,24,18,5.4,2,16,2.4,1.1,2.3,0.0,0.1,0.2,0.3,0.5,1.2,0.1,0.3,0.5,0.3,1331160.0
Brook Lopez,LAL,30,74,23.4,34,40,13.0,5.0,10.7,1.5,4.4,1.5,2.1,1.0,3.0,1.7,1.3,0.4,1.3,22642350.0
Bruno Caboclo,SAC,22,12,8.9,4,8,2.2,0.8,2.6,0.3,1.4,0.4,0.5,0.6,1.3,0.3,0.3,0.3,0.3,2451225.0
Bryn Forbes,SAS,24,80,19.0,46,34,6.9,2.6,6.2,1.1,2.9,0.6,0.9,0.2,1.2,1.0,0.5,0.4,0.0,1312611.0
Buddy Hield,SAC,25,80,25.3,27,53,13.5,5.2,11.7,2.2,5.1,0.9,1.0,0.7,3.2,1.9,1.6,1.1,0.3,3675480.0
Caleb Swanigan,POR,21,27,7.0,16,11,2.3,0.9,2.2,0.0,0.3,0.4,0.7,0.6,1.4,0.5,0.7,0.2,0.1,1465920.0
Cameron Payne,CHI,23,25,23.3,7,18,8.8,3.5,8.6,1.4,3.6,0.5,0.6,0.7,2.0,4.5,1.4,1.0,0.4,2203440.0
Carmelo Anthony,OKC,34,78,32.1,46,32,16.2,6.1,15.0,2.2,6.1,1.9,2.5,0.9,4.9,1.3,1.3,0.6,0.6,26243760.0
Cedi Osman,CLE,23,61,11.0,35,26,3.9,1.5,3.0,0.5,1.4,0.4,0.8,0.3,1.7,0.7,0.5,0.4,0.0,2642857.0
Chandler Parsons,MEM,29,36,19.2,12,24,7.9,3.0,6.5,1.4,3.4,0.5,0.8,0.4,2.1,1.9,1.0,0.5,0.3,23112004.0
Channing Frye,LAL,35,53,13.1,28,25,5.0,2.0,4.0,0.7,2.2,0.3,0.4,0.2,2.3,0.7,0.4,0.3,0.2,7420912.0
Cheick Diallo,NOP,21,52,11.2,29,23,4.9,2.0,3.4,0.0,0.0,1.0,1.3,0.9,3.2,0.4,0.5,0.2,0.4,1312611.0
Chinanu Onuaku,HOU,21,1,21.6,0,1,4.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,1312611.0
Chris McCullough,WAS,23,19,4.7,11,8,2.4,0.9,2.2,0.1,0.4,0.5,0.7,0.4,0.9,0.2,0.1,0.0,0.3,1471382.0
Chris Paul,HOU,33,58,31.8,50,8,18.6,6.3,13.8,2.5,6.5,3.5,3.8,0.6,4.8,7.9,2.2,1.7,0.2,24599495.0
Clint Capela,HOU,24,74,27.5,62,12,13.9,6.0,9.1,0.0,0.0,1.9,3.5,3.3,7.6,0.9,1.4,0.8,1.9,2334520.0
Cole Aldrich,MIN,29,21,2.3,14,7,0.6,0.2,0.7,0.0,0.0,0.1,0.3,0.1,0.6,0.1,0.0,0.1,0.0,7300000.0
Cory Joseph,IND,26,82,27.0,48,34,7.9,3.1,7.4,0.8,2.3,0.9,1.1,0.5,2.7,3.2,1.1,1.0,0.2,7630000.0
Courtney Lee,NYK,32,76,30.4,27,49,12.0,4.5,9.9,1.5,3.7,1.5,1.6,0.4,2.6,2.4,1.1,1.1,0.2,11747890.0
Cristiano Felicio,CHI,25,55,17.8,13,42,5.6,2.3,3.9,0.0,0.0,1.0,1.5,1.5,2.7,1.0,1.0,0.3,0.2,7843500.0
D.J. Augustin,ORL,30,75,23.5,23,52,10.2,3.3,7.2,1.5,3.6,2.2,2.5,0.4,1.7,3.8,1.6,0.7,0.0,7250000.0
D.J. Wilson,MIL,22,22,3.2,12,10,1.0,0.4,0.7,0.1,0.2,0.0,0.1,0.1,0.4,0.1,0.2,0.1,0.0,2135040.0
Dakari Johnson,OKC,22,31,5.2,21,10,1.8,0.7,1.3,0.0,0.0,0.4,0.6,0.5,0.6,0.3,0.1,0.2,0.3,815615.0
Damian Jones,GSW,23,15,5.9,7,8,1.7,0.7,1.5,0.0,0.0,0.2,0.3,0.3,0.6,0.1,0.3,0.1,0.2,1312611.0
Damian Lillard,POR,27,73,36.6,44,29,26.9,8.5,19.4,3.1,8.6,6.8,7.4,0.8,3.6,6.6,2.8,1.1,0.4,26153057.0
Damien Wilkins,IND,38,19,8.0,10,9,1.7,0.7,2.1,0.2,0.9,0.2,0.2,0.3,0.6,0.5,0.3,0.1,0.1,2116955.0
Damyean Dotson,NYK,24,44,10.8,11,33,4.1,1.6,3.7,0.5,1.5,0.4,0.5,0.2,1.7,0.7,0.4,0.3,0.0,1100000.0
Daniel Theis,BOS,26,63,14.9,44,19,5.3,2.0,3.7,0.3,0.9,1.0,1.3,1.4,2.9,0.9,0.9,0.5,0.8,815615.0
Danilo Gallinari,LAC,29,21,32.0,11,10,15.3,4.9,12.2,1.7,5.3,3.9,4.1,0.4,4.4,2.0,1.2,0.6,0.5,20559599.0
Danny Green,SAS,31,70,25.6,40,30,8.6,3.1,8.0,1.7,4.6,0.7,0.9,0.6,3.0,1.6,1.1,0.9,1.1,10000000.0
Dante Exum,UTA,22,14,16.8,10,4,8.1,3.0,6.2,0.4,1.3,1.8,2.2,0.3,1.6,3.1,1.4,0.6,0.2,4992385.0
Dario Saric,PHI,24,78,29.6,49,29,14.6,5.2,11.4,2.0,5.1,2.3,2.7,2.0,4.7,2.6,1.9,0.7,0.3,2422560.0
Darius Miller,NOP,28,82,23.7,48,34,7.8,2.6,5.9,1.8,4.4,0.7,0.8,0.2,1.8,1.4,0.7,0.3,0.2,2100000.0
Darrell Arthur,DEN,30,19,7.4,12,7,2.8,1.2,2.5,0.4,1.2,0.1,0.2,0.2,0.6,0.5,0.8,0.4,0.2,7464912.0
Darren Collison,IND,30,69,29.3,39,30,12.4,4.6,9.2,1.4,3.0,1.8,2.1,0.5,2.0,5.3,1.2,1.3,0.2,10000000.0
David Nwaba,CHI,25,70,23.5,26,44,7.9,2.9,6.0,0.3,0.7,1.9,2.9,1.3,3.4,1.5,1.1,0.8,0.4,1312611.0
David West,GSW,37,73,13.7,52,21,6.8,3.0,5.2,0.0,0.1,0.8,1.1,0.9,2.4,1.9,1.1,0.6,1.0,2328652.0
Davis Bertans,SAS,25,77,14.1,43,34,5.9,2.1,4.8,1.2,3.3,0.5,0.6,0.2,1.8,1.0,0.5,0.3,0.4,1312611.0
De'Aaron Fox,SAC,20,73,27.7,24,49,11.6,4.5,10.9,0.6,2.1,1.9,2.7,0.5,2.3,4.4,2.4,1.0,0.3,4609200.0
DeAndre Jordan,LAC,29,77,31.5,39,38,12.0,4.8,7.5,0.0,0.0,2.4,4.1,4.3,10.9,1.5,1.8,0.5,0.9,22642350.0
DeAndre Liggins,NOP,30,58,12.5,34,24,1.7,0.7,1.8,0.3,0.9,0.0,0.1,0.1,1.2,0.8,0.3,0.6,0.2,172238.0
DeAndre' Bembry,ATL,23,26,17.5,8,18,5.2,2.0,4.9,0.4,1.2,0.7,1.3,0.3,2.5,1.9,1.8,0.8,0.5,1567200.0
DeMar DeRozan,TOR,28,80,33.9,57,23,23.0,8.1,17.7,1.1,3.6,5.8,7.0,0.7,3.2,5.2,2.2,1.1,0.3,27739975.0
DeMarcus Cousins,NOP,27,48,36.2,27,21,25.2,8.5,18.0,2.2,6.1,6.1,8.2,2.2,10.7,5.4,5.0,1.6,1.6,18063850.0
Dejounte Murray,SAS,21,81,21.5,47,34,8.1,3.3,7.5,0.1,0.4,1.3,1.8,1.4,4.3,2.9,1.7,1.2,0.4,1312611.0
Delon Wright,TOR,26,69,20.8,49,20,8.0,2.9,6.3,0.8,2.2,1.4,1.7,0.7,2.2,2.9,1.1,1.0,0.5,1645200.0
Dennis Schroder,ATL,24,67,31.0,21,46,19.4,7.5,17.1,1.1,3.9,3.4,4.0,0.7,2.4,6.2,2.7,1.1,0.1,15500000.0
Denzel Valentine,CHI,24,77,27.2,26,51,10.2,3.9,9.4,1.9,4.8,0.5,0.7,0.6,4.5,3.2,1.3,0.8,0.1,2186400.0
Derrick Favors,UTA,26,77,28.0,46,31,12.3,5.1,9.1,0.2,0.8,1.8,2.8,2.6,4.6,1.3,1.1,0.7,1.1,12000000.0
Derrick White,SAS,23,17,8.2,7,10,3.2,0.9,1.9,0.5,0.8,0.8,1.2,0.3,1.2,0.5,0.4,0.2,0.2,1404600.0
Derrick Williams,LAL,27,2,4.3,1,1,1.0,0.5,2.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,104059.0
Devin Harris,DEN,35,71,18.9,33,38,8.4,2.6,6.4,1.1,3.2,2.0,2.4,0.2,1.6,2.1,1.1,0.7,0.2,4402546.0
Dewayne Dedmon,ATL,28,62,24.9,18,44,10.0,4.0,7.7,0.8,2.3,1.1,1.4,1.6,6.3,1.5,1.4,0.6,0.8,6000000.0
Deyonta Davis,MEM,21,62,15.2,16,46,5.8,2.6,4.3,0.0,0.0,0.6,0.9,1.2,2.8,0.6,0.5,0.2,0.6,1312611.0
Dillon Brooks,MEM,22,82,28.7,22,60,11.0,4.1,9.4,1.1,3.2,1.5,2.0,0.6,2.5,1.6,1.5,0.9,0.2,815615.0
Dion Waiters,MIA,26,30,30.6,16,14,14.3,5.4,13.7,1.7,5.7,1.7,2.3,0.3,2.3,3.8,2.3,0.8,0.3,11000000.0
Dirk Nowitzki,DAL,40,77,24.7,24,53,12.0,4.5,9.8,1.8,4.4,1.3,1.4,0.3,5.4,1.6,0.7,0.6,0.6,5000000.0
Domantas Sabonis,IND,22,74,24.5,45,29,11.6,4.6,8.9,0.2,0.5,2.3,3.0,2.2,5.5,2.0,1.9,0.5,0.4,2550000.0
Donovan Mitchell,UTA,21,79,33.4,46,33,20.5,7.5,17.2,2.4,7.0,3.0,3.8,0.7,3.1,3.7,2.7,1.5,0.3,2621280.0
Dorian Finney-Smith,DAL,25,21,21.3,4,17,5.9,2.2,5.8,1.0,3.2,0.5,0.7,1.0,2.5,1.2,1.0,0.5,0.2,1312611.0
Doug McDermott,DAL,26,81,21.8,30,51,7.8,2.9,6.3,1.1,2.7,0.8,1.0,0.5,2.0,1.0,0.7,0.2,0.2,3294994.0
Draymond Green,GSW,28,70,32.7,48,22,11.0,4.0,8.8,1.1,3.7,1.9,2.5,1.1,6.6,7.3,2.9,1.4,1.3,16400000.0
Dwight Buycks,DET,29,29,14.7,10,19,7.4,2.8,6.8,0.5,1.6,1.2,1.4,0.4,1.0,2.0,1.3,0.7,0.1,748160.0
Dwight Powell,DAL,26,79,21.2,23,56,8.5,3.2,5.4,0.4,1.1,1.7,2.3,1.7,3.9,1.2,0.7,0.8,0.4,9003125.0
Dwyane Wade,MIA,36,67,22.9,37,30,11.4,4.5,10.2,0.5,1.7,2.0,2.8,0.7,3.0,3.4,2.1,0.9,0.7,2328652.0
E'Twaun Moore,NOP,29,82,31.5,48,34,12.5,5.2,10.1,1.6,3.7,0.6,0.8,0.7,2.2,2.3,1.2,1.0,0.1,8445024.0
Ed Davis,POR,29,78,18.9,48,30,5.3,2.2,3.7,0.0,0.0,0.9,1.4,2.3,5.0,0.5,0.8,0.4,0.7,6352531.0
Ekpe Udoh,UTA,31,63,12.9,36,27,2.6,1.0,1.9,0.0,0.0,0.7,0.9,1.1,1.3,0.8,0.3,0.7,1.2,3200000.0
Emeka Okafor,NOP,35,26,13.6,16,10,4.4,1.8,3.7,0.0,0.0,0.7,0.8,1.8,2.8,0.3,0.5,0.3,1.0,239204.0
Emmanuel Mudiay,NYK,22,64,19.4,29,35,8.6,3.2,8.2,0.7,2.3,1.5,2.0,0.4,2.0,3.2,1.8,0.6,0.2,3381480.0
Enes Kanter,NYK,26,71,25.8,27,44,14.1,5.9,10.0,0.0,0.0,2.2,2.6,3.8,7.1,1.5,1.7,0.5,0.5,20566802.0
Eric Bledsoe,MIL,28,74,31.4,40,34,17.7,6.3,13.4,1.7,4.9,3.4,4.3,0.7,3.1,5.0,2.9,2.0,0.6,14500000.0
Eric Gordon,HOU,29,69,31.2,55,14,18.0,6.0,14.1,3.2,8.8,2.8,3.5,0.4,2.1,2.2,1.9,0.6,0.4,12943020.0
Eric Moreland,DET,26,67,12.0,32,35,2.1,1.0,1.8,0.0,0.0,0.2,0.4,1.2,2.9,1.2,0.6,0.5,0.8,1739333.0
Ersan Ilyasova,PHI,31,69,25.1,36,33,10.9,4.0,8.9,1.3,3.7,1.5,2.0,1.7,4.2,1.3,1.0,0.9,0.4,502328.0
Evan Fournier,ORL,25,57,32.2,20,37,17.8,6.5,14.1,2.2,5.9,2.6,3.0,0.4,2.8,2.9,1.7,0.8,0.3,17000000.0
Evan Turner,POR,29,79,25.7,48,31,8.2,3.3,7.3,0.5,1.7,1.2,1.4,0.4,2.7,2.2,1.3,0.6,0.4,17131148.0
Frank Mason,SAC,24,52,18.9,17,35,7.9,2.8,7.3,0.6,1.7,1.8,2.2,0.6,1.9,2.8,1.3,0.7,0.2,1184385.0
Frank Ntilikina,NYK,19,78,21.9,28,50,5.9,2.3,6.4,0.6,2.0,0.6,0.9,0.5,1.8,3.2,1.7,0.8,0.2,3501120.0
Fred VanVleet,TOR,24,76,20.0,55,21,8.6,3.1,7.2,1.4,3.4,1.1,1.3,0.3,2.1,3.2,1.0,0.9,0.3,1312611.0
Furkan Korkmaz,PHI,20,14,5.7,11,3,1.6,0.6,2.0,0.4,1.2,0.1,0.3,0.1,0.6,0.3,0.1,0.1,0.1,1465920.0
Garrett Temple,SAC,32,65,24.8,23,42,8.4,3.1,7.3,1.4,3.5,0.9,1.2,0.3,2.0,1.9,1.2,0.9,0.4,8000000.0
Gary Harris,DEN,23,67,34.4,37,30,17.5,6.6,13.6,2.3,5.9,2.0,2.4,0.6,2.1,2.9,1.8,1.8,0.2,2550055.0
George Hill,CLE,32,67,27.0,28,39,10.0,3.5,7.7,1.3,3.1,1.6,2.1,0.6,2.1,2.8,1.3,0.9,0.4,20000000.0
Georgios Papagiannis,POR,20,17,7.2,3,14,2.1,1.1,2.5,0.0,0.0,0.0,0.0,0.8,1.4,0.5,0.5,0.2,0.4,74159.0
Gerald Green,HOU,32,41,22.7,33,8,12.1,4.1,10.1,2.7,7.3,1.2,1.5,0.4,2.9,0.6,0.8,0.6,0.4,947248.0
Gian Clavell,DAL,24,7,9.1,0,7,2.9,0.9,2.6,0.9,2.1,0.3,0.3,0.1,0.9,0.4,0.3,0.3,0.0,50000.0
Giannis Antetokounmpo,MIL,23,75,36.7,39,36,26.9,9.9,18.7,0.6,1.9,6.5,8.5,2.1,8.0,4.8,3.0,1.5,1.4,22471910.0
Goran Dragic,MIA,32,75,31.7,39,36,17.3,6.5,14.3,1.5,4.0,2.9,3.6,0.7,3.4,4.8,2.2,0.8,0.2,17000450.0
